posco, 포스코
poscoenc, 포스코건설
poscoict, 포스코ICT
poscochem, 포스코케미칼
poscoplantec, 포스코플랜텍
poscoenergy, 포스코에너지

daewooint, 포스코인터내셔널
poscocnc, 포스코강판
poscosps, 포스코SPS
snnc, SNNC
poscomtech, 포스코엠텍
posmate, 포스코O&amp;M
posventure, 포스코기술투자
terminal, 포스코터미날
pmctech, 피엠씨텍
posac, 포스코A&amp;C
entob, 엔투비
poscohumans, 포스코휴먼스
poscortech2, 포스코알텍
pnr, PNR
busanene, 부산E&amp;E
scechotrans, 순천에코트랜스
poswelding, 포항특수용접봉
pospower, 삼척블루파워
pochemical, 피앤오케미칼
phsrdc, 포항SRDC
rist, RIST
posri, 포스코경영연구원
poscohrd, 포스코인재창조원
postech, 포항공과대학교
postf, 포스코청암재단
poscowel, 포스웰
posef, 포스코교육재단
poscosmb, 포스코미소금융재단
kfcc, 포스코새마을금고
posra, 철강융합신기술연구조합
ristventure, 리스트벤처
kfuelcell, 한국퓨얼셀</ul>
